"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
144,"Identity & Access Management Engineer - Remote","Ryder System","Remote in Tallahassee, FL 32395","$80,000 - $85,000 a year","Experience administering IAM systems, access controls, security and risk management, and security governance fundamentals.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=15ac2661c444875e&bb=vJEGLOxv3WFrAaBckIxu0B0RR6he3WAVb-YRJH2Guv8HMFKLbIzAmNgunOhzMZkaSuck0fwS88LQf28CUUL3cAxEo5TLUgGvKPSUfdImfTpeyuusax7DUQ%3D%3D&xkcb=SoDm67M3_Po2iVA0zD0CbzkdCdPP&fccid=22f3171d623451cc&vjs=3"
145,"Senior Cyber Engineer - Orlando, FL","ICR, Inc.","Orlando, FL 32789","$123,219 - $243,589 a year","Experience leading and tasking teams of engineers through technical design and delivery.
Perform system security analysis on systems and/or software to…","Posted
Posted 29 days ago","https://www.indeed.com/rc/clk?jk=bbe7e09a18213408&bb=vJEGLOxv3WFrAaBckIxu0G5g-ZXAAfwUCyjUxU8PLP10rdyq9aH0rgyfZu7p5Hi60WtMCuy2FIDUDIN5-8y6xLvgfArj8aRXaP9GT33o1OElv7aKkjxnfpjoX2naT-Vr&xkcb=SoB767M3_Po2iVA0zD0BbzkdCdPP&fccid=2af5cc81283b7eb0&vjs=3"
146,"Information Systems Security Engineer","V3Main Technologies Inc.","Tampa, FL",,"System security engineers coordinate their security-related activities with information security architects, senior information security officers, information…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=f7cc23debf614a73&bb=vJEGLOxv3WFrAaBckIxu0HxXfRC0hontyoF3CIHQ8jjRCdUo4LFthvvnBgedSaC9ziI6ZUxnlSiUhwVeWCqAqw1fLdMeXGQ5zdQ_CrPgRyuKffGJThODWVpmPyAzWPzP&xkcb=SoDP67M3_Po2iVA0zD0AbzkdCdPP&fccid=c2cf8c6c92c1e6ef&vjs=3"
147,"GISCS Security Architecture and Engineering Senior Director","Carnival Corporation","Hybrid work in Miami, FL",,"The Sr. Director, Security Architecture and Engineering is responsible for leading the overall global strategy for cyber security, implementation of GISCS…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=a8356f4868c01343&bb=vJEGLOxv3WFrAaBckIxu0KyJeG5BwZZO16cYM_C8a6aK8QgZYkMzPdhxgDTIY2AwIe5eT2NdkSynQW4zYhHQXLXBAcRTiUMMJzkuu8eTdozBAnf4Jg8nCG38IqT2w27d&xkcb=SoBB67M3_Po2iVA0zD0HbzkdCdPP&fccid=92ce68d28266b1a7&vjs=3"
148,"Information Systems Security Engineer (ISSE)","Axient LLC","Eglin AFB, FL 32542",,"Skilled with implementation of cyber security control practices.
The ideal candidate will be a strong team player with excellent technical and communication…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=9dd51cd4d73fbb31&bb=vJEGLOxv3WFrAaBckIxu0LUICheaRGGWeBCpmFX9DPlibngZC4qrvZv20qQ9dsQDJNYsyK2FIsSPWn6nG80LMGPx2EOSRNnjkINMWKfSQ4VTc7-4mZ7ghbexXsMTGx7Y&xkcb=SoD167M3_Po2iVA0zD0GbzkdCdPP&fccid=a86c328d2dc4001d&vjs=3"
149,"Reverse Engineer","Cromulence LLC","Melbourne, FL 32901",,"A current U.S. government security clearance is required.
Candidate must be able to understand both offensive and defensive aspects of RE; defeating against and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4e84aa1bb295f3d1&bb=vJEGLOxv3WFrAaBckIxu0NwVJg_BSxgJQzeeTvx29hPc8g_gn86cid5-9NnW3gD4CAMWY8fnnSnaAGSNq0okQx3DwrIZ6xudlQbXKuwSEYI82t0kBRL6dHVBRm6RDSGE&xkcb=SoBo67M3_Po2iVA0zD0FbzkdCdPP&fccid=2554e20ecd08ea54&vjs=3"
150,"Senior Cybersecurity Engineer – Zero Trust SME","CACI","Macdill AFB, FL","$90,700 - $199,600 a year","Knowledge of U.S. Department of Defense security requirements, regulations, policies, and procedures.
Collaborate with stakeholders to understand system…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=7ce5f6067174177d&bb=vJEGLOxv3WFrAaBckIxu0D-uBmQnDtc2CMHTcOZkD-ue0K0CAhIhzrKuSiiNa6EY8LISdobDTrlJKJvNBb-2UrhIed5IFpZy-eRg5ifpav0Cvr7OPYB_2Q%3D%3D&xkcb=SoDc67M3_Po2iVA0zD0EbzkdCdPP&fccid=5fca42294cdbc080&vjs=3"
151,"Information Systems Security Engineer","Millennium Corporation","Orlando, FL 32826",,"A strong understanding of enterprise security principles and best practices.
The candidate must have an active Secret or TS SCI security clearance.","Posted
Posted 30 days ago","https://www.indeed.com/rc/clk?jk=a68619594ddb5297&bb=Vh2Z4XMu2o7SKCZEYsHl6ZiOIdZdBvtI8GnlgIVhnpRaVMYOzlr9MW3webZoYLxhDufQyH2yqJiBTHZH9cPBc47yMSzIxEozoJb3jF6S1157U6kXpi658CtQb8O94d7z&xkcb=SoAk67M3_Po2RBA0zD0LbzkdCdPP&fccid=3f55388652e9fc1c&vjs=3"
152,"Sales Engineer - Cloud, Security, & Managed IT Services","FIS Global","Jacksonville, FL 32204 
(Mixon Town area)",,"5+ years of experience as a pre-sales engineer, solutions engineer, architect, consultant, or related operational engineering role.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=e36b608c3d5152b0&bb=Vh2Z4XMu2o7SKCZEYsHl6WNtp2mQy1TFkWbNPWPqaqvJuDXoVHpqg_wZkKDEK2J4bWJpJILzZRLgs--HQFM1fkG-W4rlWXA2X4lvjV7MbcyEf_qfitwQ6kDANwF60AKGGjGpvdlQ98M%3D&xkcb=SoCQ67M3_Po2RBA0zD0KbzkdCdPP&fccid=74e36d81c894b4b7&vjs=3"
153,"Database Security Engineer Lead, Vice President","MUFG Bank, Ltd.","Hybrid work in Tampa, FL 33607","$145,000 - $176,000 a year","Using security principles and best practice, the engineer will work with a team of other security professionals to provide guidance and support to operational,…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=7c202f039bd2fb8b&bb=Vh2Z4XMu2o7SKCZEYsHl6TPsUNaQ6ucQlh5G2S_sldLanOORiNOcKU_HCExZQn52ItS7sxkVmRh63_KGS6DlLNbwI7a92zGwKPJG9Qx9OaveR_xl5deiZIUAJNH-4oeC&xkcb=SoAN67M3_Po2RBA0zD0JbzkdCdPP&fccid=3b98171e4a0fd997&vjs=3"
154,"Job 62 Cyber Engineer Principal I","CYBER CODE MASTERS LLC","Pensacola, FL 32534","$92,500 - $112,000 a year","Maintain an understanding of the current vulnerabilities, response, and mitigation strategies used in cyber security operations.
Must be a US Citizen.","Posted
Posted 28 days ago","https://www.indeed.com/rc/clk?jk=b8c32c4e5c1c2599&bb=Vh2Z4XMu2o7SKCZEYsHl6ZlL56VLsrVq4HF4bRLfwQH6Flz3m5b9mrSyD0AaPcU3eFTS_cMSTpnzddD1xleP4nED90DkHXyv9MiaupnjfLauWsQ8eF_tOwACG0hRKYHw&xkcb=SoC567M3_Po2RBA0zD0IbzkdCdPP&fccid=aba25b7d7b5f19fe&vjs=3"
155,"Senior Lead Security/Penetration Test Engineer (Remote)","S&P Global","Remote in Tallahassee, FL 32301","$105,000 - $200,000 a year","We are looking for a Lead security engineer responsible for security testing including penetration tests, vulnerability scanning, threat assessments, attack…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=0824913c706013cd&bb=Vh2Z4XMu2o7SKCZEYsHl6UAqbeuHf8GrYZJ80gV1oV9XndAiZTj_aG2qIHGZynU7CnIyD8Lec3Lh8tknTX3pVtA-8zCXzbJsO2jl_lnwtN837Ap7397jtzAvFQiN94f6&xkcb=SoA367M3_Po2RBA0zD0PbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3"
156,"Lead Data Security Engineer","ADP","Maitland, FL 32751","$75,600 - $202,590 a year","Interpret security and technical requirements from business requirements and communicate security risks to relevant stakeholders ranging from business leaders…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=9f0eb9e3d1e7ab62&bb=Vh2Z4XMu2o7SKCZEYsHl6braOGrER1-CRE2J6jJkl1WKpR9I5jPvf0WINd0Adik3UY3GPDAoZmOAm4PeQ7XFtnMCEhgoaZm4MWzyzkPxDFiMtQNbwP27mA%3D%3D&xkcb=SoCD67M3_Po2RBA0zD0ObzkdCdPP&fccid=e996c2d6855fe778&vjs=3"
157,"Sr. Security Engineer","World Wide Technology Holding, LLC","Tampa, FL 33609 
(Swann Estates area)",,"Be experienced with security engineering as well as subject matter expert in the DoD/DISA Information Assurance (IA) requirements and have expert knowledge of…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=6a85de9e0306db37&bb=Vh2Z4XMu2o7SKCZEYsHl6crgQ2-4hVkVNk4KLflPD6oFFLJeIe5Cu1rXc5I7D0YVkDM7VPzW_nYk27li4-e6fs_q_HYVE0Dojm47bXTV-GUNvCFZ4NlQwAf02AygW8yL&xkcb=SoAe67M3_Po2RBA0zD0NbzkdCdPP&fccid=a3824b5f2c11b45a&vjs=3"
158,"Cyber Engineer / Developer","Argo Cyber Systems","Pensacola, FL",,"Provide security tools administration, management, troubleshooting, and testing.
An active Secret security clearance is the minimum required with the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=27022703bdc3608e&bb=Vh2Z4XMu2o7SKCZEYsHl6XHfMiX_k_msbBrjo6ydUyO-rL2enG7GtYChB_l4c7Eh7MF_Mb6tWM3pD20sst8dROdUQFYD0Ef69qTKfNbk5ln_-ccmCVunLCH8eceQZnz6&xkcb=SoCq67M3_Po2RBA0zD0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
159,"SailPoint Developer (Delivery Center/ Remote)","Deloitte","Remote in Boca Raton, FL",,"Help to build a strong ICAM foundation by integrating ICAM systems with in-house applications, third-party applications, and SaaS applications.","Posted
Posted 30 days ago","https://www.indeed.com/rc/clk?jk=588e5c2df2167f0f&bb=Vh2Z4XMu2o7SKCZEYsHl6QEonGYRh5GwIyP7KONvf1PMpzSkKaprWa1pMSmtqxQv3gi-NuSA3m_2jaGFoH7hJJt8pZSpsISjiVgPjjqE4SDNveCKgwI2Qg%3D%3D&xkcb=SoBD67M3_Po2RBA0zD0DbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
160,"Software Reverse Engineer - Orlando, FL","ICR, Inc.","Orlando, FL 32789","$78,853 - $236,579 a year","Perform system security analysis on systems and/or software to understand and identify vulnerabilities.
Applications will be accepted on an ongoing basis.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=b4431164df7d9dd3&bb=Vh2Z4XMu2o7SKCZEYsHl6cO3jCszfqLnu3bPCXxPteSeluyRciTNYHMcoVFRv7L6qZ946cgSOkMR_sqLGasQEuiDiQORk_aBQFbfVPiETf1Zfyja41PLWoivdlRjRcC8&xkcb=SoD367M3_Po2RBA0zD0CbzkdCdPP&fccid=2af5cc81283b7eb0&vjs=3"
161,"Cyberware Engineers | Cyber Threat Hunters","Praxis Engineering","Melbourne, FL",,"Embedded software developer proficient in C, C++, and comfortable reading/writing assembler, particularly but not limited to, x86, ARM.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=92d0519e6f0abbfe&bb=Vh2Z4XMu2o7SKCZEYsHl6TPsUNaQ6ucQal4MjvAuzlscUTfY-1eaQ9y29E3YDH2oi4LqgzE5WDOJOLfLUd9a5q0y9OhLi-jgJFcqpOquwiypiEqGILZ3cg%3D%3D&xkcb=SoBq67M3_Po2RBA0zD0BbzkdCdPP&fccid=c30fa7d623eff08c&vjs=3"
162,"Senior Cyber Engineer","Argo Cyber Systems","Pensacola, FL 32502","$80,000 - $95,000 a year","The engineering effort will focus on cloud security, SIEM and log management, and endpoint detection/response protecting customers from the ever growing and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=e31a2439d1f09fd5&bb=Vh2Z4XMu2o7SKCZEYsHl6QMvvKYeD4rt_1KvPhEYU_UlEgO0S_l_IOINCp_XMiJady5YL4xNAvObuL7LU9ENsvVoCA57uGStz9FNs5NICeZ-cO6WWQ_ZA8mS72ERCYE_&xkcb=SoDe67M3_Po2RBA0zD0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
163,"Identity and Access Management (IAM) Lead Engineer","JM Family Enterprises","Hybrid work in Deerfield Bch, FL",,"Serve as a technical subject matter expert and a key influence maker for IAM as it relates to cloud security, network security, and other platforms related to…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=7c2fcd070b0c3aa2&bb=Vh2Z4XMu2o7SKCZEYsHl6ZkpD0qYKpRN4aZQKq0olLh-vOXYFMXWezb9Hgop5UQWxvFJGTKr2BeGLaH76m4rn3WUh035OMuT_JxAahTufk_SMfh0e3cBqO5AjhpCw8te&xkcb=SoBQ67M3_Po2RBA0zD0HbzkdCdPP&fccid=84a811256879534a&vjs=3"
164,"Scientist, Info Sec Systems Engineer - Palm Bay, FL","L3Harris Technologies","Palm Bay, FL",,"Assist program security in the development of policies and procedures for emerging security technologies.
DoD Collateral SECRET security clearance required.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=7f87cd965ffffc42&bb=Vh2Z4XMu2o7SKCZEYsHl6VzUWl8rN-07jZUr1SMHcqb1kWfuBITuEE-u7b_axGJn3twafrmr1Gi168ZEijDLPE8Sotfm6INCG0CTMidjHF5Vwmi-Lm1bOGzAFe3oMv-s&xkcb=SoDk67M3_Po2RBA0zD0GbzkdCdPP&fccid=6c6be4ac01722b08&vjs=3"
165,"Vice President, Senior Application Penetration Testing Engineer","Citi","Fort Lauderdale, FL","$117,440 - $176,160 a year","Research and identify potential security issues within Citi Applications.
Drive remediation by outlining a defense-in-depth approach to business stakeholders…","Posted
Posted 7 days ago","https://www.indeed.com/rc/clk?jk=b2afede70f61d334&bb=Vh2Z4XMu2o7SKCZEYsHl6XHfMiX_k_msyMfBYLUHFUorAgVpPIAIQoQG1wP8c42NxQRMNrnNEnyvPV0QtYlKgoZJpOfoc3k9S-yftpnUa190ep_2dB0LWg%3D%3D&xkcb=SoB567M3_Po2RBA0zD0FbzkdCdPP&fccid=5bcd1ef0a7f4fb99&vjs=3"
166,"Staff Security Engineer | Endpoint","ServiceNow","Orlando, FL 32826",,"Implement and manage security solutions to enhance the organization’s overall security posture, ensuring secure and efficient remote access and internet…","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=097ec8fd7b564f1f&bb=QBFpm8E1yIVoWdPgrFPv9KD60mbQfWUV_1RYVcmj1hICZRYfRc987cBaLu4k7z_WyKgqnHgcNaIX9C3UBts5n3P5hkHXsZF1bkdbNQcsuQYRg-jT_6a7K2XZgyK-j3GT&xkcb=SoDl67M3_Po2MOwnAB0LbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
167,"Senior Network Security Engineer","Comtec IT Services","Melbourne, FL 32904","$65 - $70 an hour","Developing security architectures: 5 years (Preferred).
Develop, maintain and publish network security technical documentation in accordance with L3Harris…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=30c1bf849093d334&bb=QBFpm8E1yIVoWdPgrFPv9JnvdR3Aq7S00PxbODcpnJ0a6si8802jZaqaLWyiWV4lZavjF3_jG3SonKpUoZ0sLJQCXg8eP7Ls_ZRqc56Z4CHMahfRPZv2Cy-RruYqAV8u&xkcb=SoBR67M3_Po2MOwnAB0KbzkdCdPP&fccid=afc7687fc76b1a09&cmp=Comtec-IT-Services&ti=Network+Security+Engineer&vjs=3"
168,"Advisory - Cyber & Strategic Risk - Cyber Identity - ForgeRock Technical Architect and Developer","Deloitte","Boca Raton, FL",,"Join the team developing the future state of cyber risk solutions.
This is an unparalleled time of change with new information security challenges arising each…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=7ab4bdcccef8d11a&bb=QBFpm8E1yIVoWdPgrFPv9EIcPU8JQOEG9eS7LpI6GNX1Qksf3YEglZ5s0bYHf1IUrudX0z-PPPbN21nBlcB0kvxFVJu__-ttmXs8uyb891mNdUFbkNpK2g%3D%3D&xkcb=SoDM67M3_Po2MOwnAB0JbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
169,"Senior Security Infrastructure Engineer","Arrow Electronics, Inc.","Florida",,"Wireless security, 2 factor authentication support experience.
This position is responsible for combination of security design and implementation work, as well…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d841547cb6ec8cb0&bb=QBFpm8E1yIVoWdPgrFPv9I8wTZQCofq1rX-NoZfQT0qpPZOulOuhWoDM0M0q7DeviZCfmgIKagx3Eb8fEX-cz0OhifTuQT1WV2M-RyGBevHxt9s5ZX0JIKDS7ywkvybJ&xkcb=SoB467M3_Po2MOwnAB0IbzkdCdPP&fccid=38ee0d4d719341c1&vjs=3"
170,"USCENTCOM CITS F5 Engineer","Northern Technologies Group, Inc.","Tampa, FL 33621 
(MacDill AFB Area area)",,"? Implement security policies on F5 platforms, including Web Application Firewall (WAF) configurations and DDoS protection, mitigating risks and fortifying the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=21db0c03475b3ddf&bb=QBFpm8E1yIVoWdPgrFPv9Fyq4LoGMY-o4Mpwld5_Ecuz5qgn2UV-BFWObFp8e7ruRVqVjUAjkPV8ri2sp3cewNKWbCfVjQSaXgZuzo6-zVsWLgJDGyy-3_kQmv4aIpE_&xkcb=SoD267M3_Po2MOwnAB0PbzkdCdPP&fccid=483cd10b27b11aa0&vjs=3"
171,"Lead, Systems Engineer - Cyber Effects (Active TS/SCI Clearance Required)","L3Harris Technologies","Palm Bay, FL",,"As you develop operational CONOPS, you will work with creative, innovative, and collaborative team of hardware and software engineers to analyze and develop…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4552315d3c0fe87b&bb=QBFpm8E1yIVoWdPgrFPv9DAPhrByyxlao5fxjR05pHhyb82yr823sK9g66aB0dyhpFMXYRnPd7uQhPAmuwWzd5kRGBeqb2JdCZDZK14ofN_dNHQ9Ije5CzRRC2ZKxSrY&xkcb=SoBC67M3_Po2MOwnAB0ObzkdCdPP&fccid=6c6be4ac01722b08&vjs=3"
172,"Web Application Firewall Engineer","Deloitte","Miami, FL",,"Good understanding of information security principles, and security policy enforcement.
Develop scalable security management tools and processes.","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=3e46a0dc8932a30a&bb=QBFpm8E1yIVoWdPgrFPv9FwEGdOLBRThK7DhPix8tzCMSbkFeHylFt6CFZeiPm_Ii6qJwTVByT9Vh0Iqj5hxAdeNh8GSJ8ZPcTCtsmEiyukZ2u6XiCrIug%3D%3D&xkcb=SoDf67M3_Po2MOwnAB0NbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
173,"Senior Vice President, Identity and Access Management Engineer","BNY Mellon","Lake Mary, FL",,"Senior Vice President, Identity and Access Management Engineer.
At BNY, our culture empowers you to grow and succeed.
This is what #LifeAtBNY is all about.","Employer
Active 9 days ago","https://www.indeed.com/rc/clk?jk=a33aae679b8d382c&bb=QBFpm8E1yIVoWdPgrFPv9OyLN0Ax3wB5tuEXG9Oa-pjYhUJEPm8MWKP_f1yzOulElTHkvTwjrLwLa5nstgFqnDwMUtoAqnNzpmybYsVDcdY3ORN7uO6wHA%3D%3D&xkcb=SoBr67M3_Po2MOwnAB0MbzkdCdPP&fccid=b4048be2884af072&vjs=3"
174,"Senior Principal Cyber Engineer","Raytheon","Indialantic, FL 32903","$118,000 - $246,000 a year","As a Senior Principal Cyber Engineer supporting the CODEX Services group, you will contribute to one or more product security programs in collaboration with…","Posted
Posted 28 days ago","https://www.indeed.com/rc/clk?jk=5b52672f4fa0f367&bb=QBFpm8E1yIVoWdPgrFPv9HlatLdcDnX6ayE0LISWPxhhYUJAdrrqsykqs0WIvAB3exiN16iLvQf_lvi43m3Pu9gKgggaXymy5N76jlKZONQNRFFq-uTBFw%3D%3D&xkcb=SoCC67M3_Po2MOwnAB0DbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
175,"Senior Cyber Technology Engineer","BNY Mellon","Lake Mary, FL",,"10+ years of experience in information security or related technology experience required, experience in the securities or financial services industry is a plus…","Posted
Posted 16 days ago","https://www.indeed.com/rc/clk?jk=0c7a3dcdcc8a98a2&bb=QBFpm8E1yIVoWdPgrFPv9G06ow3mqvEo-EJ5MYdDP24129DgL31PLWGSnBiiLKAwBU4q58lranxPgXT6Rvdb6Z3VN-Sail7qhbuJs6trsLAxPByAM2tFGQ%3D%3D&xkcb=SoA267M3_Po2MOwnAB0CbzkdCdPP&fccid=b4048be2884af072&vjs=3"
176,"SITEC - Network Engineer - Security (SR) - MacDill AFB, Florida","Peraton","Macdill AFB, FL","$86,000 - $138,000 a year","DoD security clearance at the TS/SCI level is required .
Peraton is a next-generation national security company that drives missions of consequence spanning the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=6ddbc890ff548627&bb=QBFpm8E1yIVoWdPgrFPv9G06ow3mqvEo92j2RA9EYyTdGezm9y_-NwTU5zvHQutFI4-o25ABP8YCFE2bnzi-HdZ8Hb56DIZDUK8uavq7lsVdam7k-trkf8K4gKponIrdnt6szD3YlJ4%3D&xkcb=SoCr67M3_Po2MOwnAB0BbzkdCdPP&fccid=7dc8be9efe945d3a&vjs=3"
177,"Senior Cloud Security & Automation Engineer","BNY Mellon","Lake Mary, FL",,"Experience with cyber security related processes and tooling (e.g., Vulnerability management, IAM).
Experience in implementing security controls in CI/CD…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8cf29929b8d084ad&bb=QBFpm8E1yIVoWdPgrFPv9F1OY3uuSQ0liDTi2jwkN-Fk4jTEhW7UjteTHRoLCEE4FEyEN7U3inOvAie_AheNQgzDGAriZYjhSsbWZlZ3byHrZO_94n-JAQ%3D%3D&xkcb=SoAf67M3_Po2MOwnAB0AbzkdCdPP&fccid=b4048be2884af072&vjs=3"
178,"Senior Staff Product Security Engineer (SSDL)","ServiceNow","Orlando, FL 32826",,"Be an advocate for security and participate in a security champions program.
10+ years of experience in software security (AppSec).","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=145fc135908ae9b8&bb=QBFpm8E1yIVoWdPgrFPv9OOc3k6iOp8vuhHDSXX-ku-w8uXLoHFtWJJ6G6--BPamP03NnAqcyz2nVqWyXQNJnRRiGWwYhw4_BvMtx9Hvuc2Pztx5tiVXjH-rdx5CndJQ&xkcb=SoCR67M3_Po2MOwnAB0HbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
179,"Network Engineers (Transitioning Military)","INflow Federal","Pensacola, FL",,"At INflow Federal, we're not just navigating the frontier of digital transformation; we're reshaping it.
Our dedication to merging the prowess of humans and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=3ab28d5a29051228&bb=QBFpm8E1yIVoWdPgrFPv9DnYG8COLn0NT0l7BwDJ79doBkMT96NWTh8f3tKDOGg2Ng1DPpQYZ0MeS6Y9gtJHrKxNhOWCJVtXJD6rlcE33CqcgXICC1R-6Y0DdD4Y1-FM&xkcb=SoAl67M3_Po2MOwnAB0GbzkdCdPP&fccid=05ad1ad310669ab9&vjs=3"
180,"Senior Staff Software Engineer | IAM | SailPoint IdentityIQ","ServiceNow","Orlando, FL 32826",,"Dedication to continuous improvement, security process engineering, and operational excellence.
Partner with cross-functional teams to assess and address…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=eb5dac1c3d7f2e61&bb=QBFpm8E1yIVoWdPgrFPv9Ij8rlM5-Ukz2gZpIlSU14MsXhX9HIdjVPrujK9EB_87R-riEssZZmGy6WdF5s65V-hj9VwWi_xYIXqnD6GhqW8BUnZ3kvzNoDe3bB1KghgZ&xkcb=SoC467M3_Po2MOwnAB0FbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
